427,56,471,109,"U"
373,56,423,109,"O"
308,110,384,192,"H"
182,55,226,105,"N"
391,111,474,192,"O"
251,211,271,231,"U"
476,55,525,109,"G"
276,56,326,107,"O"
529,55,573,109,"H"
353,360,389,385,"m"
404,362,442,386,"m"
218,210,233,231,"J"
249,312,272,343,"y"
330,56,371,109,"R"
312,361,336,383,"a"
288,211,305,232,"L"
368,315,392,345,"y"
119,302,144,331,"d"
457,364,481,387,"e"
60,54,95,102,"F"
233,110,308,190,"S"
95,55,134,102,"A"
158,310,182,332,"a"
138,54,179,104,"R"
472,318,495,347,"g"
49,107,127,184,"A"
161,113,233,187,"R"
231,55,270,106,"B"
240,359,263,388,"g"
480,215,496,236,"2"
313,307,329,337,"f"
379,214,395,234,"2"
433,316,457,340,"n"
125,207,143,227,"2"
476,109,579,191,"W"
170,357,188,379,"r"
131,355,155,385,"P"
406,308,419,340,"i"
412,214,429,235,"0"
124,106,158,181,"I"
196,304,209,333,"i"
317,212,337,232,"Y"
445,215,463,235,"O"
201,357,225,381,"O"
279,359,297,382,"T"
159,208,175,228,"8"
344,308,356,338,"I"
224,305,236,334,"I"
