146,202,168,226,"o"
194,269,214,292,"n"
500,197,520,222,"e"
267,193,290,225,"d"
121,202,143,227,"c"
70,194,96,227,"A"
218,270,238,292,"e"
340,200,362,224,"o"
243,200,264,225,"o"
116,271,138,301,"g"
140,263,160,294,"h"
440,187,454,222,"f"
365,199,386,224,"n"
475,197,496,222,"c"
97,202,120,227,"c"
293,201,314,225,"a"
75,262,104,294,"N"
105,263,115,295,"i"
162,260,175,292,"t"
170,200,203,226,"m"
404,189,436,223,"O"
206,200,239,226,"m"
318,192,329,225,"t"
454,188,466,223,"f"
330,194,339,224,"i"
181,261,191,292,"i"
465,191,475,222,"i"
325,190,336,226,"t"
