229,147,247,175,"E"
395,153,412,182,"E"
316,115,342,146,"O"
324,68,354,106,"N"
372,68,400,108,"N"
178,108,198,140,"S"
269,148,287,179,"S"
471,155,493,183,"N"
84,63,115,101,"D"
343,115,359,144,"F"
375,153,394,180,"N"
94,146,117,179,"N"
121,61,153,103,"R"
403,116,420,147,"R"
64,107,91,137,"M"
159,147,180,181,"3"
71,145,93,178,"A"
356,152,374,179,"A"
142,109,160,139,"D"
583,122,620,196,"9"
206,146,226,174,"T"
302,148,322,176,"C"
383,116,400,146,"E"
340,150,355,177,"E"
240,109,258,138,"C"
271,65,296,103,"E"
446,153,469,183,"O"
246,148,268,175,"N"
101,106,122,138,"T"
363,116,380,145,"F"
264,112,283,138,"A"
39,107,61,138,"L"
210,63,238,104,"C"
297,66,323,106,"A"
118,146,140,179,"Y"
415,154,434,184,"D"
200,107,219,139,"S"
495,156,513,183,"L"
286,112,303,141,"L"
125,108,141,138,"E"
222,108,237,139,"E"
157,60,193,105,"X"
402,65,432,106,"G"
356,68,368,107,"I"
322,148,337,177,"L"
513,153,532,184,"r"
542,121,581,188,"S"
242,66,264,103,"D"
348,151,367,178,"A"
