217,170,230,186,"D"
231,172,239,185,"r"
240,170,247,185,"i"
246,173,256,185,"v"
257,174,267,185,"e"
268,173,276,185,"r"
276,173,285,185,"s"
290,174,298,185,"s"
299,172,305,185,"t"
306,173,316,185,"o"
317,173,329,190,"p"
333,169,344,185,"h"
346,173,355,184,"e"
357,172,364,186,"r"
364,174,375,186,"e"
237,195,249,208,"a"
250,195,260,207,"n"
261,190,271,207,"d"
279,196,287,208,"r"
288,196,297,207,"e"
298,196,310,211,"p"
311,196,320,207,"o"
322,196,328,206,"r"
328,192,335,207,"t"
340,193,347,207,"t"
347,195,357,207,"o"
213,214,232,231,"W"
232,217,242,231,"a"
242,217,251,231,"r"
251,218,262,230,"e"
263,214,274,230,"h"
274,217,285,230,"o"
286,217,296,231,"u"
297,218,305,230,"s"
305,217,318,230,"e"
323,214,337,229,"O"
337,211,343,230,"f"
344,212,350,229,"f"
350,213,355,230,"i"
355,217,363,229,"c"
364,216,373,229,"e"
