168,187,191,245,"H"
192,189,213,247,"A"
213,191,238,246,"M"
239,193,256,247,"B"
257,194,269,246,"L"
269,196,275,247,"I"
276,194,293,248,"O"
293,196,309,246,"N"
317,197,332,248,"T"
332,198,344,247,"R"
347,200,360,249,"A"
360,203,374,249,"N"
374,203,384,250,"S"
384,202,396,250,"P"
396,203,409,251,"O"
409,204,421,250,"R"
420,205,433,251,"T"
233,262,245,286,"S"
245,262,252,286,"T"
253,261,262,286,"O"
264,263,272,283,"R"
271,262,281,283,"A"
281,261,289,283,"G"
290,262,299,284,"E"
318,262,325,283,"D"
325,261,328,282,"I"
328,262,335,281,"S"
336,261,342,282,"T"
342,262,349,282,"R"
350,263,353,282,"I"
354,264,359,282,"B"
360,263,367,281,"U"
367,263,373,282,"T"
373,263,377,282,"I"
376,263,384,281,"O"
384,264,393,282,"N"
248,297,259,320,"C"
259,298,267,320,"O"
267,298,275,320,"L"
275,298,282,318,"C"
283,296,291,318,"H"
291,294,299,317,"E"
299,294,306,316,"S"
307,295,314,316,"T"
315,293,321,315,"E"
322,294,330,314,"R"
337,293,346,314,"7"
346,293,353,315,"9"
353,294,360,313,"4"
360,293,367,312,"4"
367,294,374,312,"4"
374,294,381,313,"7"
6,290,18,308,"4"
20,291,33,311,"4"
35,291,46,310,"4"
48,291,62,310,"7"
18,260,30,278,"R"
8,260,19,277,"E"
45,178,73,210,"N"
20,178,45,209,"O"
9,178,21,209,"I"
