1,171,73,271,"v"
74,173,160,273,"e"
207,139,293,271,"J"
295,166,387,269,"a"
395,163,491,268,"v"
494,165,587,270,"a"
1,298,37,364,"L"
40,320,77,363,"a"
81,319,120,362,"n"
123,320,173,389,"g"
173,322,216,370,"u"
217,320,260,368,"a"
262,321,312,393,"g"
313,321,361,371,"e"
376,301,436,372,"G"
442,317,488,372,"u"
493,298,514,377,"i"
516,299,563,375,"d"
566,324,613,374,"e"
1,419,22,456,"b"
24,426,52,468,"y"
57,423,86,458,"G"
91,433,114,459,"u"
117,430,141,472,"y"
152,425,176,464,"S"
177,426,194,464,"t"
192,436,218,465,"e"
217,436,241,465,"e"
240,420,254,465,"l"
257,434,283,467,"e"
585,144,603,166,"T"
601,147,620,167,"M"
