80,120,117,167,"S"
120,130,151,166,"e"
153,132,185,168,"a"
186,122,206,168,"t"
206,130,228,169,"r"
229,133,262,170,"a"
262,119,297,170,"d"
300,132,333,171,"e"
353,121,391,169,"H"
396,133,430,169,"o"
432,136,465,170,"u"
466,135,498,172,"s"
497,133,534,172,"e"
74,214,97,244,"S"
98,224,117,243,"e"
118,224,136,244,"a"
136,219,147,245,"t"
147,222,159,245,"r"
160,225,178,244,"a"
180,219,198,246,"d"
200,224,219,244,"e"
228,218,252,245,"C"
254,224,273,244,"o"
276,223,301,245,"m"
304,224,331,245,"m"
333,225,351,245,"u"
352,225,371,246,"n"
371,219,379,246,"i"
380,225,399,245,"c"
399,226,415,246,"a"
416,221,427,246,"t"
430,221,434,245,"i"
435,223,456,246,"o"
457,225,475,246,"n"
476,227,494,247,"s"
501,222,519,246,"L"
519,225,529,247,"t"
530,226,547,247,"d"
200,340,217,362,"R"
218,345,232,362,"e"
234,345,250,367,"g"
251,342,257,361,"i"
258,345,271,362,"s"
271,339,280,362,"t"
281,344,295,362,"e"
296,344,305,361,"r"
306,346,321,361,"e"
323,342,338,362,"d"
347,340,366,362,"O"
367,340,376,362,"f"
377,340,384,362,"f"
385,342,391,362,"i"
392,345,405,361,"c"
406,346,422,361,"e"
