2,346,45,406,"1"
47,347,113,409,"4"
127,351,173,412,"J"
176,352,240,412,"U"
247,353,309,412,"N"
314,353,365,416,"E"
389,355,447,414,"2"
453,353,511,413,"0"
519,353,577,409,"0"
578,353,634,410,"2"
15,422,33,469,"T"
36,426,56,471,"H"
59,426,76,471,"E"
86,427,106,473,"U"
109,430,131,474,"K"
139,430,160,475,"S"
168,431,191,475,"N"
191,439,208,476,"o"
218,433,234,477,"1"
245,432,267,477,"H"
267,433,289,478,"A"
289,431,310,475,"R"
311,432,332,477,"D"
341,433,363,476,"H"
364,433,386,477,"O"
387,430,408,476,"U"
409,433,427,477,"S"
429,432,447,478,"E"
453,432,475,478,"D"
477,431,497,476,"J"
502,432,512,475,"I"
512,430,532,473,"S"
539,429,560,474,"B"
560,428,581,473,"A"
581,428,600,472,"C"
600,429,620,471,"K"
155,163,210,279,"S"
222,154,277,296,"S"
284,148,345,305,"E"
345,152,426,301,"N"
435,170,492,286,"C"
