56,106,91,166,"p"
93,107,111,152,"r"
110,109,145,147,"o"
145,93,168,153,"f"
166,106,197,151,"e"
199,108,229,151,"s"
231,108,260,151,"s"
263,93,272,151,"i"
272,107,308,151,"o"
311,105,345,152,"n"
346,108,382,152,"a"
385,96,395,152,"l"
45,171,123,301,"J"
120,201,206,297,"a"
202,200,281,295,"v"
277,203,372,298,"a"
42,328,135,405,"W"
128,346,182,409,"e"
182,329,234,407,"b"
258,331,317,406,"S"
315,345,372,405,"e"
371,346,403,406,"r"
406,334,448,403,"v"
452,334,468,405,"i"
471,334,517,404,"c"
520,339,569,406,"e"
571,338,620,404,"s"
